Total_interactions,Post_weekday,Share,Like
100,4,17.0,79.0
164,3,29.0,130.0
80,3,14.0,66.0
1777,2,147.0,1572.0
393,2,49.0,325.0
186,1,33.0,152.0
279,1,27.0,249.0
339,7,14.0,325.0
192,7,31.0,161.0
142,6,26.0,113.0
252,5,19.0,233.0
106,5,18.0,88.0
104,5,14.0,90.0
152,5,10.0,137.0
599,4,20.0,577.0
108,3,18.0,86.0
54,3,12.0,40.0
713,2,20.0,678.0
75,2,17.0,54.0
42,1,8.0,34.0
81,1,12.0,66.0
0,7,0.0,0.0
18,7,2.0,16.0
96,7,24.0,72.0
121,6,19.0,99.0
106,6,18.0,88.0
494,5,72.0,412.0
117,5,17.0,100.0
622,5,63.0,523.0
174,4,13.0,143.0
162,4,22.0,107.0
39,3,11.0,27.0
204,3,47.0,155.0
125,2,23.0,98.0
75,2,17.0,56.0
199,1,21.0,172.0
113,1,17.0,96.0
100,7,8.0,76.0
269,7,31.0,227.0
59,7,14.0,44.0
262,6,39.0,216.0
211,6,18.0,187.0
36,5,3.0,26.0
46,5,10.0,29.0
58,4,11.0,47.0
71,4,10.0,57.0
214,3,36.0,174.0
32,3,8.0,18.0
92,2,15.0,77.0
14,2,1.0,12.0
58,1,9.0,48.0
337,1,28.0,285.0
242,7,31.0,202.0
87,7,19.0,64.0
83,6,13.0,66.0
81,6,14.0,65.0
220,5,54.0,164.0
53,5,13.0,40.0
90,4,11.0,76.0
160,4,17.0,139.0
123,3,14.0,101.0
162,3,10.0,144.0
202,2,13.0,179.0
245,2,22.0,219.0
69,1,7.0,60.0
119,1,23.0,77.0
55,7,7.0,48.0
787,7,70.0,697.0
70,6,17.0,53.0
119,6,28.0,84.0
162,5,9.0,146.0
550,5,84.0,449.0
273,4,44.0,226.0
233,4,47.0,172.0
114,3,13.0,99.0
505,3,74.0,411.0
0,3,0.0,0.0
97,1,8.0,85.0
64,1,8.0,56.0
38,7,7.0,29.0
101,7,13.0,86.0
441,6,53.0,370.0
252,6,57.0,190.0
122,5,19.0,101.0
117,5,16.0,99.0
158,4,8.0,140.0
163,4,31.0,130.0
311,3,38.0,270.0
39,3,6.0,30.0
126,2,17.0,107.0
421,2,77.0,331.0
91,1,13.0,78.0
342,1,32.0,301.0
129,7,16.0,111.0
148,7,22.0,124.0
185,6,27.0,153.0
65,6,11.0,51.0
142,5,26.0,115.0
378,5,61.0,310.0
430,4,90.0,328.0
0,4,0.0,0.0
1626,4,95.0,1505.0
79,3,14.0,63.0
17,3,4.0,13.0
72,2,9.0,59.0
1136,2,139.0,955.0
222,1,32.0,181.0
238,1,28.0,193.0
148,7,16.0,125.0
271,7,50.0,217.0
34,6,4.0,28.0
139,6,18.0,117.0
97,1,16.0,79.0
17,7,2.0,15.0
6,7,2.0,4.0
458,7,26.0,431.0
7,7,0.0,7.0
9,7,2.0,7.0
8,7,2.0,6.0
232,7,40.0,186.0
4,7,2.0,1.0
6,7,2.0,3.0
9,7,2.0,7.0
242,7,41.0,198.0
10,6,1.0,9.0
5,6,1.0,4.0
3,6,0.0,3.0
10,6,2.0,8.0
10,6,3.0,7.0
10,6,2.0,7.0
12,6,1.0,11.0
34,6,4.0,28.0
68,6,12.0,56.0
48,5,16.0,32.0
39,5,3.0,32.0
154,5,25.0,129.0
100,4,19.0,77.0
202,4,44.0,143.0
265,3,36.0,227.0
1009,3,90.0,859.0
447,2,60.0,377.0
53,2,9.0,41.0
96,1,14.0,76.0
204,1,15.0,189.0
94,7,14.0,80.0
179,7,28.0,148.0
35,6,11.0,24.0
367,6,41.0,302.0
200,5,32.0,166.0
454,5,49.0,358.0
193,4,25.0,161.0
387,4,55.0,319.0
70,3,16.0,54.0
163,2,30.0,117.0
137,2,21.0,115.0
252,1,35.0,187.0
98,1,13.0,84.0
409,7,40.0,363.0
282,7,32.0,244.0
410,6,98.0,290.0
288,6,41.0,243.0
132,5,19.0,113.0
84,4,5.0,77.0
557,4,64.0,485.0
1974,3,208.0,1622.0
121,3,16.0,99.0
217,2,26.0,188.0
38,2,6.0,30.0
228,1,27.0,163.0
225,1,40.0,179.0
243,7,34.0,204.0
189,6,22.0,165.0
1174,6,98.0,1047.0
276,5,40.0,234.0
299,5,42.0,250.0
194,4,36.0,154.0
199,4,29.0,150.0
114,3,8.0,102.0
271,3,44.0,226.0
472,2,121.0,345.0
90,2,11.0,68.0
72,1,10.0,62.0
263,1,35.0,223.0
67,7,6.0,61.0
117,7,12.0,104.0
164,2,15.0,146.0
119,2,15.0,102.0
818,1,43.0,766.0
70,1,7.0,63.0
133,7,17.0,113.0
490,7,42.0,442.0
330,6,43.0,278.0
73,6,7.0,64.0
60,5,7.0,52.0
32,4,2.0,30.0
1290,4,102.0,1155.0
166,4,25.0,139.0
45,3,5.0,40.0
70,3,15.0,53.0
243,2,19.0,220.0
132,2,16.0,114.0
42,1,3.0,39.0
931,1,68.0,859.0
162,7,20.0,137.0
66,7,11.0,54.0
98,6,22.0,74.0
107,6,3.0,98.0
287,5,21.0,264.0
50,5,11.0,36.0
15,4,3.0,11.0
470,4,31.0,435.0
126,3,10.0,114.0
28,3,9.0,17.0
57,2,1.0,15.0
100,2,10.0,87.0
271,1,28.0,227.0
96,1,8.0,86.0
212,7,27.0,179.0
86,7,11.0,74.0
404,6,54.0,332.0
103,6,21.0,80.0
121,5,17.0,95.0
217,5,26.0,188.0
126,4,11.0,109.0
456,4,25.0,367.0
130,3,19.0,102.0
135,2,20.0,113.0
114,2,20.0,94.0
21,2,1.0,14.0
54,1,10.0,43.0
120,1,21.0,98.0
17,7,1.0,13.0
294,7,45.0,237.0
139,6,23.0,112.0
128,6,25.0,101.0
186,5,31.0,145.0
624,5,83.0,535.0
144,4,22.0,118.0
572,4,79.0,484.0
409,3,76.0,315.0
6334,3,790.0,5172.0
188,2,30.0,154.0
88,2,15.0,73.0
115,1,19.0,96.0
118,1,19.0,98.0
68,7,14.0,53.0
85,7,10.0,71.0
234,6,34.0,194.0
